Name,NamePlural,Dimension,SubFolder,UnitSymbol
Foot,Feet,Length,Uscs,ft.
Inch,Inches,Length,Uscs,in.
Mile,Miles,Length,Uscs,mi.
Yard,Yards,Length,Uscs,yd.
Kilometre,Kilometres,Length,MetricSI,
Micrometre,Micrometres,Length,MetricSI,
Millimetre,Millimetres,Length,MetricSI,
Nanometre,Nanometres,Length,MetricSI,
Metre,Metres,Length,MetricSI,m
Gram,Grams,Mass,MetricSI,g
Kilogram,Kilograms,Mass,MetricSI,
Litre,Litres,Volume,MetricNonSI,L
Hectare,Hectares,Area,MetricNonSI,ha
Day,Days,Duration,,d
Hour,Hours,Duration,,hr
Microsecond,Microseconds,Duration,,
Millisecond,Milliseconds,Duration,,
Minute,Minutes,Duration,,min
Second,Seconds,Duration,,s
Tick,Ticks,Duration,,ticks
